,up,down,left,right
"(5,,)",-3.3616,-3.951424,-3.951424,-3.3616
"(5,,)",-2.952,-3.68928,-3.68928,-3.3616
"(6,,)",-4.88741000932,-4.92794240596,-4.90992800745,-4.88741000932
"(6,,)",-4.85926251164,-4.90992800745,-4.90992800745,-4.85926251164
"(6,,)",-4.82407813956,-4.88741000932,-4.88741000932,-4.82407813956
"(6,,)",-4.78009767444,-4.85926251164,-4.85926251164,-4.78009767444
"(6,,)",-4.72512209306,-4.82407813956,-4.82407813956,-203.725122093
"(6,,)",-4.65640261632,-203.859262512,-4.78009767444,-203.656402616
"(6,,)",-4.5705032704,-362.925122093,-203.725122093,-203.57050327
"(6,,)",-4.463129088,-203.656402616,-203.656402616,-4.463129088
"(6,,)",-4.32891136,-4.5705032704,-203.57050327,-4.32891136
"(6,,)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(6,,)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(6,,)",-3.68928,-4.1611392,-4.1611392,-3.68928
"(6,,)",-3.3616,-3.951424,-3.951424,-3.68928
"(7,,)",-4.90992800745,-4.94235392477,-4.92794240596,-4.90992800745
"(7,,)",-4.88741000932,-4.92794240596,-4.92794240596,-4.88741000932
"(7,,)",-4.85926251164,-4.90992800745,-4.90992800745,-4.85926251164
"(7,,)",-4.82407813956,-4.88741000932,-4.88741000932,-4.82407813956
"(7,,)",-4.78009767444,-4.85926251164,-4.85926251164,-203.859262512
"(7,,)",-203.725122093,-203.887410009,-4.82407813956,-362.925122093
"(7,,)",-203.656402616,-362.980097674,-203.859262512,-203.656402616
"(7,,)",-203.57050327,-203.725122093,-362.925122093,-4.5705032704
"(7,,)",-4.463129088,-4.65640261632,-203.656402616,-4.463129088
"(7,,)",-4.32891136,-4.5705032704,-4.5705032704,-4.32891136
"(7,,)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(7,,)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(7,,)",-3.68928,-4.1611392,-4.1611392,-3.951424
"(8,,)",-4.92794240596,-4.95388313982,-4.94235392477,-4.92794240596
"(8,,)",-4.90992800745,-4.94235392477,-4.94235392477,-4.90992800745
"(8,,)",-4.88741000932,-4.92794240596,-4.92794240596,-4.88741000932
"(8,,)",-4.85926251164,-4.90992800745,-4.90992800745,-4.85926251164
"(8,,)",-4.82407813956,-4.88741000932,-4.88741000932,-203.887410009
"(8,,)",-203.859262512,-203.909928007,-4.85926251164,-362.980097674
"(8,,)",-362.925122093,-363.02407814,-203.887410009,-203.725122093
"(8,,)",-203.656402616,-203.780097674,-362.980097674,-4.65640261632
"(8,,)",-4.5705032704,-4.72512209306,-203.725122093,-4.5705032704
"(8,,)",-4.463129088,-4.65640261632,-4.65640261632,-4.463129088
"(8,,)",-4.32891136,-4.5705032704,-4.5705032704,-4.32891136
"(8,,)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(8,,)",-3.951424,-4.32891136,-4.32891136,-4.1611392
"(9,,)",-4.94235392477,-4.96310651185,-4.95388313982,-4.94235392477
"(9,,)",-4.92794240596,-4.95388313982,-4.95388313982,-4.92794240596
"(9,,)",-4.90992800745,-4.94235392477,-4.94235392477,-4.90992800745
"(9,,)",-4.88741000932,-4.92794240596,-4.92794240596,-4.88741000932
"(9,,)",-4.85926251164,-4.90992800745,-4.90992800745,-203.909928007
"(9,,)",-203.887410009,-203.927942406,-4.88741000932,-363.02407814
"(9,,)",-362.980097674,-363.059262512,-203.909928007,-203.780097674
"(9,,)",-203.725122093,-203.82407814,-363.02407814,-4.72512209306
"(9,,)",-4.65640261632,-4.78009767444,-203.780097674,-4.65640261632
"(9,,)",-4.5705032704,-4.72512209306,-4.72512209306,-4.5705032704
"(9,,)",-4.463129088,-4.65640261632,-4.65640261632,-4.463129088
"(9,,)",-4.32891136,-4.5705032704,-4.5705032704,-4.32891136
"(9,,)",-4.1611392,-4.463129088,-4.463129088,-4.32891136
"(1,0)",-4.95388313982,-4.96310651185,-4.96310651185,-4.95388313982
"(1,0)",-4.94235392477,-4.95388313982,-4.96310651185,-4.94235392477
"(1,0)",-4.92794240596,-4.94235392477,-4.95388313982,-4.92794240596
"(1,0)",-4.90992800745,-4.92794240596,-4.94235392477,-4.90992800745
"(1,0)",-4.88741000932,-4.90992800745,-4.92794240596,-203.927942406
"(1,0)",-203.909928007,-203.927942406,-4.90992800745,-363.059262512
"(1,0)",-363.02407814,-363.059262512,-203.927942406,-203.82407814
"(1,0)",-203.780097674,-203.82407814,-363.059262512,-4.78009767444
"(1,0)",-4.72512209306,-4.78009767444,-203.82407814,-4.72512209306
"(1,0)",-4.65640261632,-4.72512209306,-4.78009767444,-4.65640261632
"(1,0)",-4.5705032704,-4.65640261632,-4.72512209306,-4.5705032704
"(1,0)",-4.463129088,-4.5705032704,-4.65640261632,-4.463129088
"(1,0)",-4.32891136,-4.463129088,-4.5705032704,-4.463129088
